bnumber,heat_shock,IPTG,anaerobic,NaCL,log_phase
B0001,1.100013,0.0,0.0,0.0,0.0
B0002,-0.770595,-0.086413,-2.56844,0.548122,-3.668384
B0003,-2.952614,0.0,-2.300055,0.571622,-2.83547
B0004,-0.770675,-0.468995,-2.635671,0.07682700000000001,-3.266078
B0006,-1.415956,0.792528,-0.431367,0.408657,-1.801588
B0008,-1.533076,0.091894,-0.72745,-0.292091,-0.34618
B0009,1.204515,-0.358445,-0.164691,-0.351165,0.0
B0010,0.0,0.023835,0.499822,0.8601529999999999,0.0
B0014,5.129847,-0.559932,2.606928,2.072777,4.997448
B0015,5.405358,0.0,1.929868,2.130967,3.40971
B0016,4.326661,0.192886,0.447533,0.16414,1.108491
B0017,3.846044,0.149493,0.0,0.423931,-0.637643
B0019,1.757712,0.0,-0.368462,0.851248,0.0
B0021,-0.426713,0.005736,-0.430214,-0.9312319999999999,-2.392854
B0022,-0.287341,-0.188098,0.305325,-0.369624,0.0
B0023,-0.450275,0.295109,0.370837,0.118063,-2.322335
B0025,-0.518608,-0.598259,0.52288,0.402897,-1.644496
B0026,-0.616791,-0.051505,0.247432,-0.212764,-3.331244
B0027,-2.99673,-0.243726,-0.174303,0.801071,-1.579009
B0028,-2.984093,0.0,0.364342,0.36451,-0.556723
B0030,-0.387778,-0.644868,0.0,-1.178755,2.119131
B0031,-2.146383,0.044989,-0.91239,-0.5853080000000001,-3.7328
B0032,0.0,0.544527,-0.885816,-4.878253,-3.28554
B0033,-0.90889,0.181924,-1.362278,-3.788922,-3.910532
B0038,0.0,0.0,0.0,-0.988493,0.0
B0049,-0.955206,-0.016275,-0.228112,-0.629754,0.0
B0050,-0.988655,-0.490232,0.164034,-0.659228,-1.264866
B0051,-2.535946,-0.133141,-0.481238,-0.46731,-2.960819
B0052,-1.788859,-0.403182,-0.454746,-0.611589,-1.517213
B0053,-2.313077,-0.120022,-0.497506,0.05716,-1.279658
B0054,-2.066308,-0.003357,-0.050592,-0.224925,-2.95281
B0056,0.797239,0.0,0.306139,-0.052063,0.0
B0059,1.417812,-0.102931,0.253879,-0.564615,-0.687967
B0060,-1.214322,-0.373977,0.662025,-0.776762,0.0
B0063,-1.796974,-0.400935,0.126311,0.184036,1.843271
B0064,0.0,-0.664959,0.272893,-0.314855,0.0
B0066,0.0,-0.970453,-0.777315,1.020954,0.0
B0068,-2.64557,0.060436,-2.13464,-0.025354,-1.078676
B0069,0.0,0.0,0.896164,2.490683,0.0
B0070,-0.954515,1.077809,-0.618166,1.237196,0.0
B0071,-1.953702,0.0,-1.582716,0.356655,1.632416
B0072,-1.545853,0.407883,-1.592881,0.172309,1.990748
B0073,-1.070186,0.0,-1.443866,0.555747,1.376104
B0074,-2.123301,0.0,-1.722682,0.337847,1.694045
