	 qseqid    	 sseqid       	 bitscore 	 qcovs 	 scov 	 bitscore 	 qcovs 	 scov 	
	 NP_418415 	 WP_003519344 	     1660 	    97 	   97 	     1652 	    97 	   97 	
	 NP_418414 	 WP_038491455 	     1611 	    99 	   98 	     1611 	    98 	  101 	
	 NP_418443 	 WP_038491697 	     1520 	    99 	   97 	     1511 	    97 	   99 	
	 NP_415534 	 WP_004432057 	     1341 	    95 	  102 	     1362 	    99 	   95 	
	 NP_414574 	 WP_038492894 	     1281 	    97 	   97 	     1303 	    99 	  107 	
	 NP_417679 	 WP_038494278 	     1270 	    98 	   96 	     1246 	    96 	  102 	
	 YP_026225 	 WP_038497069 	     1242 	    99 	   98 	     1229 	    98 	  100 	
	 NP_414995 	 WP_003516853 	     1165 	    99 	  100 	     1160 	    98 	   97 	
	 NP_418482 	 WP_003515263 	     1117 	   100 	   98 	     1134 	    98 	  102 	
	 NP_417161 	 WP_038492618 	     1086 	    97 	  100 	     1086 	   100 	   97 	
	 NP_415792 	 WP_003516634 	     1069 	    99 	   99 	     1070 	    99 	   99 	
	 NP_417379 	 WP_038490923 	     1046 	    98 	   98 	     1068 	    97 	   98 	
	 NP_414973 	 WP_038492788 	     1011 	    97 	   94 	      993 	    95 	   97 	
	 NP_417083 	 WP_004432113 	      990 	    99 	   97 	      990 	    98 	   99 	
	 NP_414818 	 WP_038494776 	      983 	    99 	  100 	      986 	    99 	  100 	
	 YP_026248 	 WP_013636431 	      933 	    99 	   99 	      933 	    99 	   99 	
	 NP_414965 	 WP_003514419 	      908 	    98 	   97 	      924 	    97 	   98 	
	 NP_414640 	 WP_038495808 	      903 	    99 	  100 	      902 	    98 	  100 	
	 NP_418679 	 WP_038491237 	      899 	    98 	  102 	      898 	    98 	  101 	
	 NP_417177 	 WP_003516058 	      895 	    97 	   98 	      910 	    98 	   99 	
	 NP_417450 	 WP_038489284 	      894 	    99 	  100 	      894 	    99 	  100 	
	 YP_026241 	 WP_003516345 	      889 	    99 	   99 	      890 	    98 	  100 	
	 NP_415403 	 WP_038490831 	      885 	    97 	   90 	      900 	    90 	   99 	
	 NP_417392 	 WP_003511304 	      880 	    99 	   99 	      874 	    98 	   99 	
	 NP_418493 	 WP_003516521 	      859 	    97 	   97 	      859 	    97 	   97 	
	 NP_414555 	 WP_003514373 	      855 	   100 	  101 	      846 	    99 	  100 	
	 NP_414726 	 WP_019565483 	      855 	    94 	   96 	      857 	    93 	   96 	
	 NP_416018 	 WP_019566810 	      855 	    99 	   99 	      847 	    99 	   99 	
	 NP_415225 	 WP_035199695 	      849 	    99 	  100 	      830 	    99 	  101 	
	 NP_417866 	 WP_038489918 	      839 	    97 	   98 	      878 	    98 	   98 	
	 NP_418422 	 WP_038492947 	      835 	    95 	   99 	      835 	    96 	   95 	
	 NP_416958 	 WP_003515491 	      833 	    99 	   97 	      895 	    97 	   99 	
	 NP_417886 	 WP_038494630 	      827 	    98 	   97 	      803 	    97 	   98 	
	 NP_417799 	 WP_003519335 	      821 	    99 	  100 	      841 	    99 	   99 	
	 NP_418377 	 WP_038495333 	      815 	    98 	  100 	      803 	    99 	   99 	
	 NP_415254 	 WP_003516728 	      810 	    98 	   99 	      810 	    99 	  106 	
	 NP_416734 	 WP_038491007 	      803 	    95 	   79 	      802 	    92 	   84 	
	 NP_415300 	 WP_038492873 	      803 	    99 	   67 	      788 	    67 	  100 	
	 NP_417633 	 WP_003514278 	      795 	    97 	   96 	      795 	    97 	   97 	
	 NP_416580 	 WP_038494007 	      795 	    99 	   97 	      793 	    97 	   99 	
	 NP_415175 	 WP_038492503 	      771 	    99 	  100 	      787 	    99 	  102 	
	 NP_415452 	 WP_038490398 	      762 	    99 	   99 	      756 	    99 	  101 	
	 NP_418045 	 WP_003513477 	      761 	    98 	   99 	      761 	    99 	   98 	
	 NP_414666 	 WP_019566511 	      760 	    98 	  101 	      728 	   100 	   99 	
	 NP_418300 	 WP_038489363 	      758 	    99 	  100 	      749 	    99 	  107 	
	 NP_417645 	 WP_013761814 	      752 	    97 	   96 	      752 	    96 	   98 	
	 NP_417890 	 WP_019566535 	      751 	    99 	   99 	      766 	    98 	  100 	
	 NP_416365 	 WP_003515140 	      747 	    99 	   98 	      766 	    98 	   98 	
	 NP_417064 	 WP_025592156 	      742 	    99 	   97 	      707 	    97 	   99 	
	 NP_415632 	 WP_019566117 	      736 	    98 	   99 	      736 	    98 	  101 	
	 NP_418535 	 WP_025595114 	      721 	    99 	   99 	      721 	    99 	  101 	
	 NP_418567 	 WP_004432205 	      704 	    97 	   97 	      704 	    97 	   96 	
	 NP_416714 	 WP_038490128 	      700 	    89 	   84 	      701 	    85 	   89 	
	 NP_414567 	 WP_038489976 	      687 	    98 	  100 	      687 	    98 	  103 	
	 NP_415350 	 WP_003518082 	      680 	    93 	   94 	      680 	    93 	   93 	
	 NP_418188 	 WP_003516750 	      675 	    99 	   95 	      675 	    96 	  100 	
	 YP_026274 	 WP_003516684 	      668 	    99 	   99 	      668 	    99 	   99 	
	 NP_418314 	 WP_038494022 	      665 	    98 	  100 	      665 	    99 	   98 	
	 NP_417147 	 WP_038496761 	      663 	    99 	   98 	      663 	    99 	   99 	
	 NP_416234 	 WP_038491273 	      654 	    99 	   98 	      654 	    98 	  102 	
	 YP_025308 	 WP_038495484 	      652 	    90 	   95 	      652 	    95 	   90 	
	 NP_416437 	 WP_025595302 	      648 	    99 	   99 	      648 	    99 	   99 	
	 NP_418306 	 WP_003515722 	      646 	    99 	   99 	      646 	    99 	   99 	
	 NP_415400 	 WP_019566462 	      645 	    99 	   99 	      643 	    99 	   99 	
	 NP_417637 	 WP_003514296 	      645 	    66 	   64 	      623 	    65 	   66 	
	 NP_416319 	 WP_003514883 	      644 	    98 	   97 	      644 	    97 	   99 	
	 NP_418543 	 WP_038495936 	      633 	    99 	   98 	      633 	    98 	   99 	
	 NP_416198 	 WP_038491360 	      627 	    96 	   99 	      627 	    97 	   97 	
	 NP_414614 	 WP_019566018 	      626 	    99 	   99 	      627 	    99 	   99 	
	 NP_415248 	 WP_003496202 	      625 	   100 	  100 	      625 	   100 	  100 	
	 NP_415126 	 WP_038494926 	      624 	    99 	   99 	      624 	    99 	  100 	
	 NP_418001 	 WP_004431933 	      623 	    98 	   98 	      635 	    98 	   98 	
	 NP_418230 	 WP_003516375 	      618 	    99 	   99 	      618 	    99 	   99 	
	 NP_414690 	 WP_038489288 	      613 	    99 	   98 	      607 	    98 	  100 	
	 YP_026188 	 WP_003511408 	      612 	    97 	   98 	      646 	    98 	   98 	
	 NP_415017 	 WP_038492772 	      608 	    99 	  101 	      580 	    97 	  101 	
	 YP_026286 	 WP_025595758 	      606 	    98 	   97 	      606 	    97 	   98 	
	 NP_415261 	 WP_013762083 	      605 	    96 	   96 	      618 	    96 	   96 	
	 NP_417260 	 WP_026330924 	      605 	    98 	   98 	      601 	    98 	   98 	
	 NP_416685 	 WP_019564511 	      601 	    99 	   95 	      601 	    96 	   99 	
	 NP_414972 	 WP_003512644 	      596 	    98 	   97 	      596 	    97 	   97 	
	 NP_418808 	 WP_003513287 	      596 	    99 	  100 	      634 	    99 	   99 	
	 NP_415223 	 WP_035251518 	      590 	    98 	   98 	      611 	    98 	   99 	
	 YP_025294 	 WP_013636474 	      588 	    98 	   95 	      588 	    94 	   99 	
	 NP_418449 	 WP_038489735 	      585 	    95 	   96 	      585 	    96 	   94 	
	 NP_416906 	 WP_038491602 	      584 	    99 	   98 	      584 	    98 	  105 	
	 NP_414954 	 WP_003511745 	      583 	    98 	   97 	      589 	    97 	  100 	
	 NP_417002 	 WP_003514664 	      581 	   100 	  100 	      581 	   100 	  100 	
	 NP_418407 	 WP_013636434 	      581 	    99 	  101 	      582 	    99 	  100 	
	 NP_417798 	 WP_013636434 	      580 	    99 	  101 	      582 	    99 	  100 	
	 NP_417722 	 WP_013635980 	      575 	    99 	   99 	      554 	    99 	   98 	
	 NP_418190 	 WP_003516747 	      574 	    99 	  102 	      574 	   100 	  101 	
	 NP_415251 	 WP_013636888 	      573 	    99 	   97 	      529 	    97 	  101 	
	 NP_418197 	 WP_038492609 	      571 	    96 	   96 	      610 	    97 	   97 	
	 NP_415226 	 WP_038494284 	      569 	    99 	   98 	      584 	    99 	  100 	
	 NP_417015 	 WP_038494215 	      566 	    90 	   84 	      576 	    81 	   93 	
	 NP_417213 	 WP_038489667 	      565 	    98 	   97 	      564 	    97 	  103 	
	 NP_418185 	 WP_003515753 	      563 	   100 	  100 	      570 	   100 	  100 	
	 NP_415970 	 WP_019564934 	      563 	    93 	   96 	      543 	    96 	   93 	
	 YP_026263 	 WP_038489290 	      555 	    97 	   99 	      555 	    99 	   98 	
	 NP_418634 	 WP_003512549 	      548 	    91 	   91 	      565 	    92 	   96 	
	 NP_418022 	 WP_003516221 	      547 	    99 	   99 	      569 	    99 	   98 	
	 NP_417985 	 WP_013761559 	      541 	    97 	   92 	      541 	    93 	   97 	
	 NP_416119 	 WP_003514086 	      541 	    99 	  101 	      558 	    99 	  104 	
	 NP_415532 	 WP_003504013 	      537 	    93 	   98 	      537 	    98 	   93 	
	 NP_418684 	 WP_013635664 	      534 	    97 	   97 	      521 	    98 	  101 	
	 NP_414845 	 WP_038490153 	      532 	    97 	   98 	      532 	    97 	   97 	
	 NP_416386 	 WP_038497555 	      529 	    95 	  101 	      546 	    99 	   96 	
	 NP_418007 	 WP_003518075 	      529 	    93 	   95 	      528 	    93 	   94 	
	 NP_416120 	 WP_038492936 	      528 	   100 	  100 	      522 	   100 	  102 	
	 NP_417539 	 WP_003513359 	      528 	    99 	   96 	      516 	    95 	  106 	
	 NP_415431 	 WP_004431908 	      528 	    99 	   97 	      535 	    98 	   99 	
	 YP_026244 	 WP_038490013 	      527 	    99 	   97 	      533 	    98 	  100 	
	 NP_417003 	 WP_003515165 	      523 	    98 	   98 	      499 	    97 	  100 	
	 NP_415915 	 WP_038495104 	      521 	   100 	  100 	      521 	   100 	  100 	
	 NP_416128 	 WP_026330925 	      520 	    99 	   99 	      528 	    99 	   98 	
	 NP_414846 	 WP_019564156 	      518 	    98 	   97 	      504 	    97 	   98 	
	 NP_418562 	 WP_038494290 	      516 	    95 	   97 	      493 	    97 	   95 	
	 NP_417491 	 WP_013635880 	      516 	    87 	   89 	      532 	    88 	   89 	
	 NP_418361 	 WP_038494415 	      514 	    98 	   99 	      514 	    99 	   99 	
	 NP_418792 	 WP_003514729 	      513 	    99 	  100 	      513 	    98 	   99 	
	 NP_417259 	 WP_003512870 	      512 	    99 	  101 	      511 	   100 	   99 	
	 NP_417046 	 WP_003512506 	      511 	    98 	   97 	      490 	    97 	  100 	
	 NP_418439 	 WP_038489871 	      511 	    96 	   98 	      511 	    96 	   97 	
	 NP_416700 	 WP_003512142 	      511 	    99 	  100 	      501 	    99 	  102 	
	 NP_416654 	 WP_003510992 	      508 	    99 	   97 	      508 	    97 	   99 	
	 NP_417888 	 WP_004431809 	      503 	    95 	   97 	      503 	    98 	   95 	
