1	NP_414542.1	1	1	+	thrL	b0001	1	66	thr operon leader peptide
2	NP_414543.1	1	1	+	thrA	b0002	1	2463	Bifunctional aspartokinase/homoserine dehydrogenase 1
3	NP_414544.1	1	1	+	thrB	b0003	1	933	homoserine kinase
4	NP_414545.1	1	1	+	thrC	b0004	1	1287	L-threonine synthase
5	NP_414546.1	1	1	+	yaaX	b0005	1	297	DUF2502 family putative periplasmic protein
6	NP_414547.1	1	1	-	yaaA	b0006	1	777	peroxide resistance protein, lowers intracellular iron
7	NP_414548.1	1	1	-	yaaJ	b0007	1	1431	putative transporter
8	NP_414549.1	1	1	+	talB	b0008	1	954	transaldolase B
9	NP_414550.1	1	1	+	mog	b0009	1	588	molybdochelatase incorporating molybdenum into molybdopterin
10	NP_414551.1	1	1	-	satP	b0010	1	567	succinate-acetate transporter
11	NP_414552.1	1	1	-	yaaW	b0011	1	714	UPF0174 family protein
12	NP_414554.1	1	1	-	yaaI	b0013	1	405	UPF0412 family protein
13	NP_414555.1	1	1	+	dnaK	b0014	1	1917	chaperone Hsp70, with co-chaperone DnaJ
14	NP_414556.1	1	1	+	dnaJ	b0015	1	1131	chaperone Hsp40, DnaK co-chaperone
15	NP_414557.1	1	1	+	insL1	b0016	1	1113	IS186 transposase
16	NP_414559.1	1	1	-	mokC	b0018	1	210	regulatory protein for HokC, overlaps CDS of hokC
17	YP_025292.1	1	1	-	hokC	b4412	1	153	toxic membrane protein, small
18	NP_414560.1	1	1	+	nhaA	b0019	1	1167	sodium-proton antiporter
19	NP_414561.1	1	1	+	nhaR	b0020	1	906	transcriptional activator of nhaA
20	NP_414562.1	1	1	-	insB1	b0021	1	504	IS1 transposase B
21	NP_414563.1	1	1	-	insA	b0022	1	276	IS1 repressor TnpA
22	NP_414564.1	1	1	-	rpsT	b0023	1	264	30S ribosomal subunit protein S20
23	NP_414565.1	1	1	+	yaaY	b0024	1	219	uncharacterized protein
24	NP_414566.1	1	1	+	ribF	b0025	1	942	bifunctional riboflavin kinase/FAD synthetase
25	NP_414567.1	1	1	+	ileS	b0026	1	2817	isoleucyl-tRNA synthetase
26	NP_414568.1	1	1	+	lspA	b0027	1	495	prolipoprotein signal peptidase (signal peptidase II)
27	NP_414569.1	1	1	+	fkpB	b0028	1	450	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)
28	NP_414570.1	1	1	+	ispH	b0029	1	951	4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 4Fe-4S protein
29	NP_414571.1	1	1	+	rihC	b0030	1	915	ribonucleoside hydrolase 3
30	NP_414572.1	1	1	+	dapB	b0031	1	822	dihydrodipicolinate reductase
31	NP_414573.1	1	1	+	carA	b0032	1	1149	carbamoyl phosphate synthetase small subunit, glutamine amidotransferase
32	NP_414574.1	1	1	+	carB	b0033	1	3222	carbamoyl-phosphate synthase large subunit
33	NP_414576.4	1	1	+	caiF	b0034	1	396	cai operon transcriptional activator
34	NP_414577.2	1	1	-	caiE	b0035	1	591	stimulator of CaiD and CaiB enzyme activities
35	NP_414578.2	1	1	-	caiD	b0036	1	786	carnitinyl-CoA dehydratase
36	NP_414579.4	1	1	-	caiC	b0037	1	1554	putative crotonobetaine/carnitine-CoA ligase
37	NP_414580.1	1	1	-	caiB	b0038	1	1218	crotonobetainyl CoA:carnitine CoA transferase
38	NP_414581.1	1	1	-	caiA	b0039	1	1143	crotonobetaine reductase subunit II, FAD-binding
39	NP_414582.1	1	1	-	caiT	b0040	1	1515	putative transporter
40	NP_414583.2	1	1	+	fixA	b0041	1	771	anaerobic carnitine reduction putative electron transfer flavoprotein subunit
41	NP_414584.1	1	1	+	fixB	b0042	1	942	putative electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like protein
42	NP_414585.1	1	1	+	fixC	b0043	1	1287	putative oxidoreductase
43	NP_414586.1	1	1	+	fixX	b0044	1	288	putative 4Fe-4S ferredoxin-type protein
44	NP_414587.1	1	1	+	yaaU	b0045	1	1332	putative MFS sugar transporter; membrane protein
45	NP_414588.1	1	1	+	kefF	b0046	1	531	potassium-efflux system ancillary protein for KefC, glutathione-regulated; quinone oxidoreductase, FMN-dependent
46	NP_414589.1	1	1	+	kefC	b0047	1	1863	potassium:proton antiporter
47	NP_414590.1	1	1	+	folA	b0048	1	480	dihydrofolate reductase
48	NP_414591.1	1	1	-	apaH	b0049	1	843	diadenosine tetraphosphatase
49	NP_414592.1	1	1	-	apaG	b0050	1	378	protein associated with Co2+ and Mg2+ efflux
50	NP_414593.1	1	1	-	rsmA	b0051	1	822	16S rRNA m(6)A1518, m(6)A1519 dimethyltransferase, SAM-dependent
51	NP_414594.1	1	1	-	pdxA	b0052	1	990	4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent
52	NP_414595.1	1	1	-	surA	b0053	1	1287	peptidyl-prolyl cis-trans isomerase (PPIase)
53	NP_414596.1	1	1	-	lptD	b0054	1	2355	LPS assembly OM complex LptDE, beta-barrel component
54	NP_414597.1	1	1	+	djlA	b0055	1	816	membrane-anchored DnaK co-chaperone, DNA-binding protein
55	pseudo	1	1	+	yabP	b4659	2	807	-
56	NP_414600.1	1	1	-	rluA	b0058	1	660	dual specificity 23S rRNA pseudouridine(746), tRNA pseudouridine(32) synthase, SAM-dependent
57	NP_414601.1	1	1	-	rapA	b0059	1	2907	RNA polymerase remodeling/recycling factor ATPase; RNA polymerase-associated, ATP-dependent RNA translocase
58	NP_414602.1	1	1	-	polB	b0060	1	2352	DNA polymerase II
59	NP_414603.1	1	1	-	araD	b0061	1	696	L-ribulose-5-phosphate 4-epimerase
60	NP_414604.1	1	1	-	araA	b0062	1	1503	L-arabinose isomerase
61	NP_414605.1	1	1	-	araB	b0063	1	1701	L-ribulokinase
62	NP_414606.1	1	1	+	araC	b0064	1	879	ara regulon transcriptional activator; autorepressor
63	NP_414607.1	1	1	+	yabI	b0065	1	765	DedA family inner membrane protein
64	NP_414608.1	1	1	-	thiQ	b0066	1	699	thiamine/thiamine pyrophosphate ABC transporter ATPase
65	NP_414609.1	1	1	-	thiP	b0067	1	1611	thiamine/thiamine pyrophosphate ABC transporter permease
66	NP_414610.1	1	1	-	thiB	b0068	1	984	thiamine/thiamine pyrophosphate/thiamine monophosphate ABC transporter periplasmic binding protein
67	NP_414611.1	1	1	-	sgrR	b0069	1	1656	transcriptional DNA-binding transcriptional activator of sgrS sRNA
68	YP_002791237.1	1	1	+	sgrT	b4662	1	132	inhibitor of glucose uptake
69	YP_025293.1	1	1	+	setA	b0070	1	1179	broad specificity sugar efflux system
70	NP_414613.1	1	1	-	leuD	b0071	1	606	3-isopropylmalate dehydratase small subunit
71	NP_414614.1	1	1	-	leuC	b0072	1	1401	3-isopropylmalate dehydratase large subunit
72	NP_414615.4	1	1	-	leuB	b0073	1	1092	3-isopropylmalate dehydrogenase, NAD(+)-dependent
73	NP_414616.1	1	1	-	leuA	b0074	1	1572	2-isopropylmalate synthase
74	NP_414617.1	1	1	-	leuL	b0075	1	87	leu operon leader peptide
75	NP_414618.4	1	1	+	leuO	b0076	1	945	global transcription factor
76	YP_025294.2	1	1	+	ilvI	b0077	1	1725	acetolactate synthase 3 large subunit
77	NP_414620.1	1	1	+	ilvH	b0078	1	492	acetolactate synthase 3, small subunit, valine-sensitive
78	NP_414622.1	1	1	+	cra	b0080	1	1005	transcriptional repressor-activator for carbon metabolism
79	NP_414623.1	1	1	+	mraZ	b0081	1	459	RsmH methytransferase inhibitor
80	NP_414624.1	1	1	+	rsmH	b0082	1	942	16S rRNA m(4)C1402 methyltransferase, SAM-dependent
81	NP_414625.1	1	1	+	ftsL	b0083	1	366	membrane bound cell division leucine zipper septum protein
82	NP_414626.1	1	1	+	ftsI	b0084	1	1767	transpeptidase involved in septal peptidoglycan synthesis; penicillin-binding protein 3
83	NP_414627.1	1	1	+	murE	b0085	1	1488	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso- diaminopimelate ligase
84	NP_414628.1	1	1	+	murF	b0086	1	1359	UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D- alanine ligase
85	NP_414629.1	1	1	+	mraY	b0087	1	1083	phospho-N-acetylmuramoyl-pentapeptide transferase
86	NP_414630.1	1	1	+	murD	b0088	1	1317	UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase
87	NP_414631.1	1	1	+	ftsW	b0089	1	1245	putative lipid II flippase; integral membrane protein; FtsZ ring stabilizer
88	NP_414632.1	1	1	+	murG	b0090	1	1068	N-acetylglucosaminyl transferase
89	NP_414633.1	1	1	+	murC	b0091	1	1476	UDP-N-acetylmuramate:L-alanine ligase
90	NP_414634.1	1	1	+	ddlB	b0092	1	921	D-alanine:D-alanine ligase
91	NP_414635.1	1	1	+	ftsQ	b0093	1	831	divisome assembly protein, membrane anchored protein involved in growth of wall at septum
92	NP_414636.1	1	1	+	ftsA	b0094	1	1263	ATP-binding cell division FtsK recruitment protein
93	NP_414637.1	1	1	+	ftsZ	b0095	1	1152	GTP-binding tubulin-like cell division protein
94	NP_414638.1	1	1	+	lpxC	b0096	1	918	UDP-3-O-acyl N-acetylglucosamine deacetylase
95	NP_414639.2	1	1	+	secM	b0097	1	513	regulator of secA translation
96	NP_414640.1	1	1	+	secA	b0098	1	2706	preprotein translocase subunit, ATPase
97	NP_414641.1	1	1	+	mutT	b0099	1	390	dGTP-preferring nucleoside triphosphate pyrophosphohydrolase
98	NP_414643.1	1	1	-	yacG	b0101	1	198	DNA gyrase inhibitor
99	NP_414644.1	1	1	-	zapD	b0102	1	744	FtsZ stabilizer
100	NP_414645.1	1	1	-	coaE	b0103	1	621	dephospho-CoA kinase
101	NP_414646.1	1	1	+	guaC	b0104	1	1044	GMP reductase
102	NP_414648.1	1	1	-	hofC	b0106	1	1203	assembly protein in type IV pilin biogenesis, transmembrane protein
103	NP_414649.1	1	1	-	hofB	b0107	1	1386	T2SE secretion family protein; P-loop ATPase superfamily protein
104	NP_414650.1	1	1	-	ppdD	b0108	1	441	putative prepilin peptidase-dependent pilin
105	NP_414651.1	1	1	-	nadC	b0109	1	894	quinolinate phosphoribosyltransferase
106	NP_414652.1	1	1	+	ampD	b0110	1	552	1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; murein amidase
107	NP_414653.1	1	1	+	ampE	b0111	1	855	ampicillin resistance inner membrane protein; putative signaling protein in beta-lactamase regulation
108	NP_414654.1	1	1	-	aroP	b0112	1	1374	aromatic amino acid transporter
109	NP_414655.1	1	1	+	pdhR	b0113	1	765	pyruvate dehydrogenase complex repressor; autorepressor
110	NP_414656.1	1	1	+	aceE	b0114	1	2664	pyruvate dehydrogenase, decarboxylase component E1, thiamine triphosphate-binding
111	NP_414657.1	1	1	+	aceF	b0115	1	1893	pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2
112	NP_414658.1	1	1	+	lpd	b0116	1	1425	dihydrolipoyl dehydrogenase; E3 component of pyruvate and 2-oxoglutarate dehydrogenases complexes; glycine cleavage system L protein; dihydrolipoamide dehydrogenase
113	NP_414659.1	1	1	-	yacH	b0117	1	1854	DUF3300 family protein
114	NP_414660.1	1	1	+	acnB	b0118	1	2598	aconitate hydratase 2; aconitase B; 2-methyl-cis-aconitate hydratase
115	NP_414661.2	1	1	+	yacL	b0119	1	363	UPF0231 family protein
116	NP_414662.1	1	1	-	speD	b0120	1	795	S-adenosylmethionine decarboxylase
117	NP_414663.1	1	1	-	speE	b0121	1	867	spermidine synthase (putrescine aminopropyltransferase)
118	NP_414664.4	1	1	-	yacC	b0122	1	348	PulS_OutS family protein
119	NP_414665.1	1	1	+	cueO	b0123	1	1551	multicopper oxidase (laccase)
120	NP_414666.1	1	1	-	gcd	b0124	1	2391	glucose dehydrogenase
121	NP_414667.4	1	1	+	hpt	b0125	1	537	hypoxanthine phosphoribosyltransferase
122	NP_414668.1	1	1	-	can	b0126	1	663	carbonic anhydrase
123	NP_414669.1	1	1	+	yadG	b0127	1	927	putative ABC transporter ATPase
124	NP_414670.1	1	1	+	yadH	b0128	1	771	putative ABC transporter permease
125	NP_414671.1	1	1	+	yadI	b0129	1	441	putative PTS Enzyme IIA
126	NP_414672.1	1	1	+	yadE	b0130	1	1230	putative polysaccharide deacetylase lipoprotein
127	NP_414673.1	1	1	-	panD	b0131	1	381	aspartate 1-decarboxylase
128	NP_414674.1	1	1	+	yadD	b0132	1	903	transposase_31 family protein
129	NP_414675.1	1	1	-	panC	b0133	1	852	pantothenate synthetase
130	NP_414676.1	1	1	-	panB	b0134	1	795	3-methyl-2-oxobutanoate hydroxymethyltransferase
